id,name
1,American Museum of Natural History
2,Badlands National Park
3,Bat Conservation International
4,Bath Royal Literary and Scientific Institution
5,Beijing Natural History Museum
6,Bell Museum of Natural History
7,Bishop Museum
8,Brigham Young University Earth Science Museum
9,California Academy of Sciences
10,California Institute of Technology
11,Carnegie Museum of Natural History
12,Chelonian Research Institute
13,Cornell University Division of Biological Sciences
14,Cornell University Museum of Vertebrates
15,Dinosaur National Monument
16,Duke University Primate Center
17,"Field Museum of Natural History, Chicago"
18,Finnish Museum of Natural History
19,Florida Museum of Natural History
20,Forest Research Institute Malaysia
21,Geiseltal Museum
22,Grant Museum of Zoology and Comparative Anatomy
23,Houston Museum of Natural Science
24,Illinois State Museum
25,"Institute of Geology, Mongolian Academy of Science"
26,"Institute of Geology, Ulaan Baatar, Mongolia"
27,Institute of Vertebrate Paleontology and Paleoanth
28,"Instituto de Biologia, Universidad Nacional Autóno"
29,Instituto Nacional de Pesquisa da Amazonia
30,Los Angeles County Museum of Natural History
31,Louisiana State University Museum of Natural Scien
32,Massachusetts Museum of Natural History
33,Mongolian Academy of Sciences
34,Musée d'Histoire Naturelle de Miguasha
35,Musée des Dinosaures, Espéraza, France
36,Musée National du Niger
37,"Museo Argentino de Ciencias Naturales, Buenos Aire"
38,"Museo de Ciencias Naturales, Universidad Nacional"
39,Museo de Historia natural de Cochabamba
40,"Museo de La Plata, Argentina"
41,Museo de Zoología, Facultad de Ciencias, U. N. A.
42,Museu de Zoologia da Universidade de São Paulo
43,Museu Historic Municipal de Novelda
44,"Museu Nacional, Universidade Federal do Rio de Jan"
45,Museum für Naturkunde Berlin
46,Muséum National d'Histoire Naturelle
47,"Museum of Comparative Zoology, Harvard University"
48,Museum of Northern Arizona
49,Museum Victoria
50,National Geographic Society Explorers Hall
51,National Museum of Natural History
52,National Park Service
53,North Carolina Museum of Natural Sciences
54,Ohio University College of Osteopathic Medicine
55,Old Dominion University
56,Private Collection
57,Queensland Museum
58,"Riken Bioresource Center, Tsukuba, Ibaraki, Japan"
59,"Royal Botanic Gardens, Kew, United Kingdom"
60,Royal Ontario Museum
61,Royal Tyrrell Museum of Palaeontology
62,Sam Noble Oklahoma Museum of Natural History
63,San Diego Natural History Museum
64,San Diego Society of Natural History
65,Scripps Institution of Oceanography
66,Shuler Museum of Paleontology
67,South African Institute for Aquatic Biodiversity
68,South Dakota School of Mines and Technology
69,Southwest Foundation for Biomedical Research
70,Texas Cooperative Wildlife Collection
71,Texas Memorial Museum
72,The Academy of Natural Sciences of Philadelphia
73,The Natural History Museum (London)
74,Tulane University Museum of Natural History
75,Universidad Nacional Autonoma de Mexico
76,Université d'Antananarivo
77,University College London
78,University of Alabama Ichthyological Collection
79,University of Antananarivo
80,University of Arizona
81,University of Calgary
82,University of California Museum of Paleontology
83,University of California Museum of Vertebrate Zool
84,"University of California, Los Angeles"
85,University of Chicago
86,University of Connecticut
87,University of Kansas Natural History Museum
88,University of Massachusetts Natural History Collec
89,University of Michigan Museum of Zoology
90,University of New Orleans
91,"University of Texas, Austin Geological Sciences Te"
92,"University of Texas, Department of Anthropology"
93,University of Washington
94,UTA Amphibian and Reptile Diversity Research Cente
95,Utah Museum of Natural History
96,Western Australia Museum
97,Yale Peabody Museum
98,Zoological Museum of Amsterdam
99,Zoologisches Museum Berlin
